qmd	block_id	line	kind	section	words	disposition	target_slot	label	text
_trajectory.qmd	trajectory-008-paragraph-the-difference-of-differences-interaction-raises-mean-pseudotime-position	180	paragraph	The interaction is composition, not progression	124	figure	fig-trajectory-decomposition;fig-trajectory-kitagawa-forest		The difference-of-differences interaction raises mean pseudotime position by   units (95% CI [ ,  ], ordinary p  , Freedman-Lane permutation p  ) - microglia on the amyloid-plus-mutant-tau background sit a little further along the axis than an additive model predicts. The exact three-channel shift-share decomposition (composition, progression, cross) says where that advance comes from, and the two channels point in opposite directions. The composition channel - the same per-state positions, with cells redistributed toward the DAM end - carries the whole effect (interaction  , p  ; loading   of the position interaction). The progression channel - cells of a given state sitting further along, the genuinely abundance-independent quantity - is small, negative and not significant ( , p  , permutation p  ; loading  ), and the cross term is minor (loading  ). The three loadings sum to one by construction (reconstruction residual  ).
_trajectory.qmd	trajectory-009-caption-the-position-interaction-is-compositional-left-the-tau-amyloid	200	caption	The interaction is composition, not progression	73	caption	fig-trajectory-decomposition	fig-trajectory-decomposition	The position interaction is compositional. Left: the tau-amyloid interaction on each additive pseudotime channel (point and 95% CI, all in pseudotime units); the composition channel is positive and clears zero, while the progression and within-state channels do not. Right: the shift-share loadings - composition takes more than the whole position interaction, progression is negative, and they sum to one. Mutant tau enlarges the DAM compartment; it does not measurably advance cells within a state.
_trajectory.qmd	trajectory-010-paragraph-the-pre-registered-primary-endpoints-the-progression-channel-and	228	paragraph	The interaction is composition, not progression	91	figure	fig-trajectory-decomposition;fig-trajectory-kitagawa-forest		The pre-registered primary endpoints - the progression channel and the within-homeostatic mean position, both designed to be insensitive to compartment size - are both non-significant (BH-adjusted FDR   and  ). So the honest reading is that there is no statistically supported signal that mutant tau advances microglia further along the activation axis; what the interaction does, it does by enlarging the DAM compartment. That is the trajectory-level counterpart of P1's significant DAM-fraction interaction: the same synergy, now resolved as compositional. The full inference across every endpoint, including the bounded fraction-past-onset bridges, is tabulated below.
_trajectory.qmd	trajectory-011-caption-replicate-level-mean-pseudotime-tracks-the-dam-fraction-each	263	caption	The interaction is composition, not progression	42	caption	fig-trajectory-unit-pt-dam	fig-trajectory-unit-pt-dam	Replicate-level mean pseudotime tracks the DAM fraction. Each point is one genotype-by-batch unit; batch labels show that the high-position units are also high-DAM units. This is why the decomposition is load-bearing: a position interaction can be created by changing compartment size.
_trajectory.qmd	trajectory-012-caption-channel-audit-for-the-trajectory-inference-left-prepared	278	caption	The interaction is composition, not progression	44	caption	fig-trajectory-kitagawa-forest	fig-trajectory-kitagawa-forest	Channel audit for the trajectory inference. Left: prepared overall and within-state rows across the five contrasts; amyloid moves mean position, but the interaction's within-state rows do not clear zero. Right: the explicit interaction decomposition rows; composition is positive, progression is negative and not supported.
_trajectory.qmd	trajectory-013-h2-a-per-cell-model-corroborates-the-position-shift	300	h2	A per-cell model corroborates the position shift	7	keep	section-nav		A per-cell model corroborates the position shift
_trajectory.qmd	trajectory-014-paragraph-the-summary-level-test-aggregates-each-of-the-genotype-by	302	paragraph	A per-cell model corroborates the position shift	110	figure	fig-trajectory-logic-board		The summary-level test aggregates each of the   genotype-by-batch units to one number, which is the right scale for the interaction inference but discards the per-cell distribution. As a supportive cross-check, a per-cell beta generalised linear mixed model (pt01 ~ tau * amyloid + batch + (1 | unit),   on-lineage nuclei over   replicate units)  . This agrees that the interaction raises position. But it models per-cell position directly, so it is the per-cell analogue of mean pseudotime and is itself composition-conflated: it supports that position rises, not that progression does. It is reported as supportive only - the summary-level decomposition carries the composition-versus-progression inference, and there both concordance and discordance with this arm would be acceptable.
_trajectory.qmd	trajectory-015-h2-reconciliation-robustness-and-concordance	313	h2	Reconciliation, robustness and concordance	4	keep	section-nav		Reconciliation, robustness and concordance
_trajectory.qmd	trajectory-016-paragraph-this-re-baselines-a-v1-result-rather-than-reproducing	315	paragraph	Reconciliation, robustness and concordance	134	figure	fig-trajectory-concordance;fig-trajectory-audit		"This re-baselines a v1 result rather than reproducing it. v1's point estimate had loaded the same interaction mostly onto progression (about   of the effect) at a suggestive significance (FDR about  ); on R   the decomposition attributes it mainly to composition instead, and neither the progression nor the within-state channel clears significance. The qualitative headline - a real, modest tau-amyloid synergy carried by the DAM compartment - is unchanged; its mechanistic reading shifts from ""further-progressed cells"" toward ""more cells"". The ordering itself is stable and marker-concordant: refitting on 10 and 20 harmony dimensions and on all retained nuclei reproduces the primary pseudotime at Spearman   or better, and the slingshot ordering agrees with the marker score-axis at Spearman   (a moderate-to-large concordance, expected below one because the transcriptome geometry and the DAM-minus-homeostatic marker contrast are related, not identical)."
_trajectory.qmd	trajectory-017-caption-the-slingshot-pseudotime-and-the-assumption-light-marker-score-axis	332	caption	Reconciliation, robustness and concordance	47	caption	fig-trajectory-concordance	fig-trajectory-concordance	The slingshot pseudotime and the assumption-light marker score-axis (DAM minus homeostatic UCell) order the on-lineage nuclei concordantly; the binned density runs along the diagonal. This shares the marker system that defines the substates, so it guards against gross ordering failure rather than acting as an independent check.
_trajectory.qmd	trajectory-018-caption-trajectory-robustness-and-lineage-conditioning-audit-left-refits-using	344	caption	Reconciliation, robustness and concordance	46	caption	fig-trajectory-audit	fig-trajectory-audit	Trajectory robustness and lineage-conditioning audit. Left: refits using fewer or more harmony dimensions, and all retained nuclei, remain strongly concordant with the primary pseudotime. Right: the off-lineage omitted fraction is low within every genotype, so conditioning on the homeostatic-to-DAM lineage does not drive the interaction.
_trajectory.qmd	trajectory-019-h2-caveats-and-provenance	362	h2	Caveats and provenance	3	keep	section-nav		Caveats and provenance
_trajectory.qmd	trajectory-020-paragraph-five-caveats-frame-this-chapter-first-pseudotime-is	364	paragraph	Caveats and provenance	161	collapsed_audit	collapsed-trajectory-audit		Five caveats frame this chapter. First, pseudotime is an activation ordering, not developmental time or cellular potency: direction rests on slingshot rooting and the validated DAM-marker monotonicity above, never on a potency proxy. Second, and for the same reason, every effect here is a statement about position and extent of advance in a cross-sectional snapshot; the rate or acceleration reading would need longitudinal sampling or RNA velocity, which this design does not have. Third, the lineage conditions on the homeostatic-to-DAM cells, omitting the interferon and proliferative nuclei ( % of microglia overall); were that omission genotype-skewed it could bias the interaction, so the per-genotype omitted fraction is reported below and is balanced across genotypes. Fourth, the within-state and composition channels are anchored on cell-weighted pooled positions, so the decomposition is conditional on that anchoring. Fifth, the substates are transcriptionally close, which is why the marker score-axis concordance is moderate rather than near-perfect and is read as a guard, not an independent validation.
_mechanism.qmd	mechanism-001-h1-mechanism-myc-signal-nf-kb-check-and-bulk-kinase	1	h1	Mechanism: Myc signal, NF-kB check, and bulk kinase support	9	keep	section-nav		Mechanism: Myc signal, NF-kB check, and bulk kinase support
_mechanism.qmd	mechanism-002-paragraph-p3-reframes-the-mechanism-question-around-the-rebuilt	3	paragraph	Mechanism: Myc signal, NF-kB check, and bulk kinase support	91	figure	fig-mechanism-status-board		P3 reframes the mechanism question around the rebuilt P1/P2 result. Amyloid drives a microglial homeostatic-to-DAM programme, and mutant tau modulates that amyloid response mainly by expanding the DAM compartment, not by a supported further advance along the activation ordering. The analyses below ask which RNA pathway, TF and kinase signals plausibly sit under that state expansion. They are treated as tests, not as assumed winners: Myc and Gsk3b can be supported or not by the rebuilt data, and NF-kB attenuation is only called if its predeclared transcript-level gate clears.
_mechanism.qmd	mechanism-003-h2-pathway-survey	201	h2	Pathway Survey	2	keep	section-nav		Pathway Survey
_mechanism.qmd	mechanism-004-paragraph-the-project-gene-sets-recapitulate-the-upstream-story	203	paragraph	Pathway Survey	66	figure	fig-mechanism-project-pathway;fig-mechanism-go-dotplot		The project gene sets recapitulate the upstream story in RNA. The whole-microglia DAM set is positive in the tau-amyloid interaction (NES  , FDR  ), aligning with the P1 DAM-composition interaction (DAM propeller ratio  , FDR  ) and the P2 composition channel (effect  , FDR  ). The progression channel remains non-significant (effect  , FDR  ), so the mechanism target is DAM-cell expansion and amyloid-response modulation, not proven further activation of cells already on the trajectory.
_mechanism.qmd	mechanism-005-caption-focused-project-gene-sets-in-whole-microglia-tile	216	caption	Pathway Survey	49	caption	fig-mechanism-project-sets	fig-mechanism-project-sets	Focused project gene sets in whole microglia. Tile colour is fgsea NES over the pseudobulk t-statistic ranks; outlined points mark FDR < 0.10 within the project collection and contrast. The DAM set stays positive in the interaction, while the NF-kB target arms are read through the formal gate below.
_mechanism.qmd	mechanism-006-caption-project-gene-set-survey-across-populations-tile-colour-is	237	caption	Pathway Survey	38	caption	fig-mechanism-project-pathway	fig-mechanism-project-pathway	Project gene-set survey across populations. Tile colour is fgsea NES; outlined points mark FDR < 0.10 within population and contrast. The interaction pattern is read against the closed P1/P2 result: DAM-cell expansion, not supported progression beyond composition.
_mechanism.qmd	mechanism-007-caption-compact-go-survey-from-the-bounded-fgsea-layer	272	caption	Pathway Survey	41	caption	fig-mechanism-go-dotplot	fig-mechanism-go-dotplot	Compact GO survey from the bounded fgsea layer. Each population-contrast panel contributes its top two GO rows; colour is NES, size is gene-set size, and filled points mark FDR < 0.10. These rows are exploratory context, not a new mechanism call.
_mechanism.qmd	mechanism-008-h2-tf-activity	285	h2	TF Activity	2	keep	section-nav		TF Activity
_mechanism.qmd	mechanism-009-paragraph-the-strongest-tf-result-is-myc-repression-in	287	paragraph	TF Activity	59	figure	fig-mechanism-tf-lollipop		The strongest TF result is Myc repression in the interaction. In whole microglia, Myc has ULM score   (FDR  ); in the DAM substate it is also negative (score  , FDR  ). This is the cleanest rebuilt support for the v1 Myc mechanism thread. It should still be read as a regulatory-activity estimate from static pseudobulk RNA ranks, not as a perturbation experiment.
_mechanism.qmd	mechanism-010-caption-top-tf-activities-for-the-tau-amyloid-interaction-scores	297	caption	TF Activity	37	caption	fig-mechanism-tf-interaction	fig-mechanism-tf-interaction	Top TF activities for the tau-amyloid interaction. Scores are decoupleR ULM activities over CollecTRI, FDR-adjusted within population and contrast. Myc is highlighted because it is a predeclared v1 mechanism candidate and is the strongest rebuilt TF signal.
_mechanism.qmd	mechanism-011-caption-focused-tf-candidates-across-the-interaction-and-tau-in	320	caption	TF Activity	38	caption	fig-mechanism-tf-lollipop	fig-mechanism-tf-lollipop	Focused TF candidates across the interaction and tau-in-NLGF contrasts. Myc is consistently negative and supported, while NF-kB-family members do not form a concordant negative attenuation pattern. Filled points mark FDR < 0.10 within population and contrast.
_mechanism.qmd	mechanism-012-h2-nf-kb-attenuation	334	h2	NF-kB Attenuation	2	keep	section-nav		NF-kB Attenuation
_mechanism.qmd	mechanism-013-paragraph-supportive-rows-including-tau-in-nlgf-and-substates-remain	336	paragraph	NF-kB Attenuation	16	figure	fig-mechanism-nfkb-discordance		Supportive rows, including tau-in-NLGF and substates, remain descriptive and cannot override the whole-microglia interaction gate.
_mechanism.qmd	mechanism-014-caption-nf-kb-attenuation-verdict-from-the-guarded-mechanism-target	357	caption	NF-kB Attenuation	35	caption	fig-mechanism-nfkb-discordance	fig-mechanism-nfkb-discordance	NF-kB attenuation verdict from the guarded mechanism target. The two whole-microglia interaction rows are primary, and the plot title prints the current target status. Tau-in-NLGF rows are supportive-only and cannot override the primary gate.
_mechanism.qmd	mechanism-015-h2-gsk3b-and-kinase-activity	370	h2	Gsk3b And Kinase Activity	4	keep	section-nav		Gsk3b And Kinase Activity
_mechanism.qmd	mechanism-016-paragraph-the-ksn-layer-has-adequate-coverage-for-the	372	paragraph	Gsk3b And Kinase Activity	51	figure	fig-mechanism-kinase-heatmap		The KSN layer has adequate coverage for the specific candidate:   Gsk3b substrate sites pass the min-size rule, from   matched KSN sites and   kinases passing min-size overall. But the rebuilt Gsk3b interaction score is   (FDR  ) and the tau-in-NLGF score is   (FDR  ), so the v1 Gsk3b interaction headline is not recovered here.
_mechanism.qmd	mechanism-017-paragraph-the-kinase-rows-that-do-pass-the-primary	380	paragraph	Gsk3b And Kinase Activity	66	figure	fig-mechanism-kinase-heatmap		The kinase rows that do pass the primary FDR threshold are concentrated in tau-in-NLGF (  non-Gsk3b kinases at FDR <  ). None are supported by the additive run-index sensitivity (  retain FDR support with concordant sign), so the bulk phosphosite layer is hypothesis-generating. It is 24-month bulk hippocampus phosphoproteomics, not microglia-sorted, and its 16 runs are genotype-blocked, so it should not be used as a stand-alone microglial mechanism claim.
_mechanism.qmd	mechanism-018-caption-kinase-activity-rows-from-the-24-month-bulk-hippocampus	413	caption	Gsk3b And Kinase Activity	43	caption	fig-mechanism-kinase-heatmap	fig-mechanism-kinase-heatmap	Kinase activity rows from the 24-month bulk hippocampus phosphosite layer. Gsk3b is carried in every contrast whether significant or not; other kinases appear because they pass primary FDR < 0.10. White circles mark primary support and crosses mark additive run-index support when present.
_mechanism.qmd	mechanism-019-h2-synthesis	428	h2	Synthesis	1	keep	section-nav		Synthesis
_mechanism.qmd	mechanism-020-paragraph-the-rebuilt-mechanism-evidence-is-asymmetric-the-rna	430	paragraph	Synthesis	105	schematic	fig-mechanism-status-board		The rebuilt mechanism evidence is asymmetric. The RNA layer strongly supports a Myc-linked, DAM-centred interaction signal, and the pathway layer ties that signal back to the compositional state expansion established in P1/P2. The targeted NF-kB attenuation check is discordant rather than supported, and the 24-month bulk phosphosite kinase layer does not recover a significant Gsk3b interaction. P3 therefore strengthens the DAM/Myc mechanism hypothesis while downgrading Gsk3b and NF-kB attenuation to unresolved or unsupported within the rebuilt data. The closing synthesis treats those negatives as part of the result, while the cross-modality chapter audits whether spatial, total-proteome and broader phosphoproteome views add corroborating context.
_crossmodality.qmd	crossmodality-001-h1-cross-modality-spatial-bulk-and-divergence-checks	1	h1	Cross-modality: spatial, bulk, and divergence checks	6	keep	section-nav		Cross-modality: spatial, bulk, and divergence checks
_crossmodality.qmd	crossmodality-002-paragraph-p4-asks-what-the-non-snrnaseq-modalities-add-to	3	paragraph	Cross-modality: spatial, bulk, and divergence checks	71	collapsed_audit	fig-crossmodality-status-board		P4 asks what the non-snRNAseq modalities add to the rebuilt microglia story. The spatial and bulk layers are not treated as independent winners: GeoMx AOIs are repeated tissue observations, and the 24-month proteome and phosphoproteome are bulk hippocampus, not microglia-sorted. The chapter therefore reads them as concordance, caveat and divergence checks around the P1-P3 spine: amyloid-to-DAM activation, a DAM-composition tau-amyloid interaction, Myc-linked RNA support, and unsupported NF-kB/Gsk3b mechanism claims.
_crossmodality.qmd	crossmodality-003-h2-geomx-spatial-de	304	h2	GeoMx Spatial DE	3	keep	section-nav		GeoMx Spatial DE
_crossmodality.qmd	crossmodality-004-paragraph-the-geomx-layer-contributes-a-tissue-spatial-transcriptomic-readout	306	paragraph	GeoMx Spatial DE	83	figure	fig-crossmodality-geomx-volcano;fig-crossmodality-geomx-sensitivity		The GeoMx layer contributes a tissue-spatial transcriptomic readout over   AOIs and   biological units. Its primary model uses slide fixed effects plus duplicate-correlation blocking by biological unit, so the AOIs are not read as independent animals. Amyloid produces large spatial DE counts in both backgrounds (  rows at FDR <   on MAPTKI,   on P301S), while the tau-amyloid interaction is much smaller (  rows). That fits the broader story: GeoMx strongly corroborates the amyloid tissue response, but interaction claims still lean on the microglia composition and trajectory layers.
_crossmodality.qmd	crossmodality-005-caption-geomx-spatial-de-counts-under-the-primary-aoi	321	caption	GeoMx Spatial DE	37	caption	fig-crossmodality-geomx-counts	fig-crossmodality-geomx-counts	GeoMx spatial DE counts under the primary AOI model with bio-unit blocking. Bars count primary GeoMx rows with FDR < 0.10, split by logFC direction. The amyloid contrasts dominate; the interaction has far fewer spatial transcriptomic hits.
_crossmodality.qmd	crossmodality-006-caption-geomx-primary-model-volcanoes-across-the-p4-focus-contrasts	341	caption	GeoMx Spatial DE	38	caption	fig-crossmodality-geomx-volcano	fig-crossmodality-geomx-volcano	GeoMx primary-model volcanoes across the P4 focus contrasts. Points are pre-binned from the AOI model with bio-unit blocking, and labels mark the strongest rows per contrast. The amyloid contrasts have dense high-significance structure; the interaction is visibly smaller.
_crossmodality.qmd	crossmodality-007-caption-geomx-bio-unit-blocked-primary-calls-against-the-two	387	caption	GeoMx Spatial DE	48	caption	fig-crossmodality-geomx-sensitivity	fig-crossmodality-geomx-sensitivity	GeoMx bio-unit-blocked primary calls against the two sensitivity fits. Positive bars are rows gained by a sensitivity fit, negative bars are primary rows lost. The collapsed biological-unit fit loses many primary rows, so the chapter privileges the duplicate-correlation primary model rather than reading AOIs as independent animals.
_crossmodality.qmd	crossmodality-008-h2-bulk-proteome-and-phospho	402	h2	Bulk Proteome And Phospho	4	keep	section-nav		Bulk Proteome And Phospho
_crossmodality.qmd	crossmodality-009-paragraph-the-bulk-layers-use-the-same-16-run-24-month	404	paragraph	Bulk Proteome And Phospho	72	collapsed_audit	fig-crossmodality-bulk-run-index;fig-crossmodality-phospho-correction		The bulk layers use the same 16-run, 24-month hippocampus sample set: total protein, raw phosphosite and parent-protein-corrected phosphosite. The feature universes are compact enough to report directly ( ). The run-index sensitivity is load-bearing. Across bulk layers,   primary FDR <   rows are checked, and   ( %) lose support or flip under the additive run-index sensitivity. The most affected cell is   in   (  rows), so bulk signals below are treated as support only when they survive that caveat.
_crossmodality.qmd	crossmodality-010-caption-bulk-omics-feature-counts-at-fdr-0-10	418	caption	Bulk Proteome And Phospho	31	caption	fig-crossmodality-bulk-counts	fig-crossmodality-bulk-counts	Bulk omics feature counts at FDR < 0.10. Proteome, raw phosphosite and parent-protein-corrected phosphosite layers are 24-month bulk hippocampus, not microglia-sorted. Many primary hits are sensitive to genotype-blocked run order.
_crossmodality.qmd	crossmodality-011-caption-run-index-sensitivity-across-the-24-month-bulk-hippocampus-layers	437	caption	Bulk Proteome And Phospho	54	caption	fig-crossmodality-bulk-run-index	fig-crossmodality-bulk-run-index	Run-index sensitivity across the 24-month bulk hippocampus layers. Tile fill is the fraction of primary FDR < 0.10 rows that lose support or flip sign after additive run-index adjustment; text is lost or flipped over primary hits. Most bulk signal is run-order-sensitive, so it is corroborative rather than a stand-alone microglial mechanism claim.
_crossmodality.qmd	crossmodality-012-caption-raw-versus-parent-protein-corrected-phosphosite-effects-in-the	468	caption	Bulk Proteome And Phospho	42	caption	fig-crossmodality-phospho-correction	fig-crossmodality-phospho-correction	Raw versus parent-protein-corrected phosphosite effects in the 24-month bulk hippocampus layer. Points are pre-binned by site-level log2 fold-change, with selected top sites labelled. Parent correction changes effect geometry but does not turn this bulk phospho layer into a microglia-sorted mechanism assay.
_crossmodality.qmd	crossmodality-013-caption-bulk-anchor-coverage-and-effects-for-clearance-synaptic	498	caption	Bulk Proteome And Phospho	47	caption	fig-crossmodality-anchor-heatmap	fig-crossmodality-anchor-heatmap	Bulk anchor coverage and effects for clearance, synaptic, complement and Gsk3b-related rows. Each tile is the best available row per anchor symbol, layer and contrast, selected by FDR then absolute t-statistic; outlined points mark FDR < 0.10. Blank cells are unmeasured or filtered in that bulk layer.
_crossmodality.qmd	crossmodality-014-h2-spatial-composition-and-clearance-axis	511	h2	Spatial Composition And Clearance Axis	5	keep	section-nav		Spatial Composition And Clearance Axis
_crossmodality.qmd	crossmodality-015-paragraph-spatialdecon-is-no-longer-a-skipped-preflight-the	513	paragraph	Spatial Composition And Clearance Axis	57	figure	fig-crossmodality-clearance-grid		SpatialDecon is no longer a skipped preflight. The follow-up built compact full-reference profiles ( ) and attempted GeoMx deconvolution. The target-derived status is   with action  :  . The blocking reasons are:  .  , and  . The report therefore makes no spatial-abundance or cell-count claim from GeoMx; it keeps the residual audit as fit QC and reports only GeoMx DE plus the measured clearance-axis evidence.
_crossmodality.qmd	crossmodality-016-paragraph-the-targeted-ccc-lite-rule-earns-ccc-called-stays	543	paragraph	Spatial Composition And Clearance Axis	29	figure	fig-crossmodality-clearance-grid		The targeted CCC-lite rule earns  ; ccc_called stays  , because no CellChat, LIANA or MultiNicheNet model is run.   Pairs that remain measured but unearned are not promoted to communication claims.
_crossmodality.qmd	crossmodality-017-caption-clearance-pair-ccc-lite-support-across-the-focus-contrasts-tile	569	caption	Spatial Composition And Clearance Axis	49	caption	fig-crossmodality-clearance-grid	fig-crossmodality-clearance-grid	Clearance-pair CCC-lite support across the focus contrasts. Tile fill marks the conservative earned/not-earned verdict; text is the number of coherent supported broad modality classes, and the point marks a strong whole-microglia anchor. Only Apoe-Trem2 in amyloid on P301S earns measured pair support; no full CCC model is called.
_crossmodality.qmd	crossmodality-018-h2-integrated-divergence	583	h2	Integrated Divergence	2	keep	section-nav		Integrated Divergence
_crossmodality.qmd	crossmodality-019-paragraph-the-integration-target-keeps-nulls-and-mixed-signs	585	paragraph	Integrated Divergence	65	figure	fig-crossmodality-symbol-matrix;fig-crossmodality-pathway-heatmap		The integration target keeps nulls and mixed signs rather than compressing them into a v1-style claims ledger. Across the four focus contrasts it carries   symbol-contrast rows observed in at least two broad modality classes,   rows with any significant modality, and   mixed-sign rows. Mixed signs are expected in this design because microglia RNA, spatial tissue RNA, total protein and phosphosite statistics answer related but non-identical questions.
_crossmodality.qmd	crossmodality-020-caption-axis-level-pathway-integration-each-tile-is-the-best	597	caption	Integrated Divergence	38	caption	fig-crossmodality-axis-heatmap	fig-crossmodality-axis-heatmap	Axis-level pathway integration. Each tile is the best selected pathway row for an axis and contrast; fill counts broad modality classes with FDR-level support, while text gives the dominant direction or mixed-sign call. Rank score is descriptive only.
_crossmodality.qmd	crossmodality-021-caption-top-named-axis-symbols-across-the-focus-contrasts-fill	619	caption	Integrated Divergence	50	caption	fig-crossmodality-symbol-matrix	fig-crossmodality-symbol-matrix	Top named-axis symbols across the focus contrasts. Fill counts broad modality classes with FDR-level support, not layer-level evidence groups; text gives the dominant direction, mixed sign, or 0 when no broad modality class clears FDR. Interaction rows are mostly 0, reinforcing that cross-modality interaction support is limited outside microglia composition.
_crossmodality.qmd	crossmodality-022-caption-selected-pathway-axis-rows-by-contrast-fill-counts-broad	659	caption	Integrated Divergence	36	caption	fig-crossmodality-pathway-heatmap	fig-crossmodality-pathway-heatmap	Selected pathway-axis rows by contrast. Fill counts broad modality classes with FDR-level support; text reports the sign call, including mixed signs. These rows are descriptive integration summaries, not a formal meta-analysis or a v1-style convergence score.
_crossmodality.qmd	crossmodality-023-h2-p4-synthesis	693	h2	P4 Synthesis	2	keep	section-nav		P4 Synthesis
_crossmodality.qmd	crossmodality-024-paragraph-cross-modality-evidence-strengthens-the-amyloid-response-spine-geomx-and	695	paragraph	P4 Synthesis	89	figure	fig-crossmodality-status-board		Cross-modality evidence strengthens the amyloid-response spine. GeoMx and bulk layers both show their largest effects in amyloid contrasts, pathway rows reproduce antigen-presentation, phagocytic/clearance and synaptic axes, and  . The same evidence narrows the claims: the tau-amyloid interaction is not broadly spatial or bulk-omics significant, SpatialDecon abundance is blocked after fitting, full CCC is not called, and genotype-blocked bulk run order downgrades many proteome/phosphosite rows. In the closing synthesis, this chapter therefore corroborates  , while keeping progression, NF-kB attenuation, Gsk3b and spatial abundance unresolved or unsupported in the rebuilt data.
